Feature Name                                 Since   First Commit Timestamp     Latest Commit Timestamp
box_raw                                      1.4.0   2015-09-10 13:26:44 -0700  2015-09-10 13:26:44 -0700
box_str                                      1.4.0   2015-09-10 13:26:44 -0700  2017-06-13 15:52:59 -0700
cstr_memory                                  1.4.0   2015-09-10 13:26:44 -0700  2015-09-10 13:26:44 -0700
cstr_to_str                                  1.4.0   2015-09-10 13:26:44 -0700  2015-09-10 13:26:44 -0700
into_raw_os                                  1.4.0   2015-09-10 13:26:44 -0700  2017-08-16 11:06:58 +0200
iter_to_slice                                1.4.0   2015-09-10 13:26:44 -0700  2015-09-10 13:26:44 -0700
park_timeout                                 1.4.0   2015-09-10 13:26:44 -0700  2015-09-10 13:26:44 -0700
rc_unique                                    1.4.0   2015-09-10 13:26:44 -0700  2015-09-10 13:26:44 -0700
rc_weak                                      1.4.0   2015-09-10 13:26:44 -0700  2016-01-20 05:52:05 +0100
result_expect                                1.4.0   2015-09-10 13:26:44 -0700  2015-09-10 13:26:44 -0700
socket_timeout                               1.4.0   2015-09-10 13:26:44 -0700  2015-09-10 13:26:44 -0700
split_off                                    1.4.0   2015-09-10 13:26:44 -0700  2015-09-10 13:26:44 -0700
thread_sleep                                 1.4.0   2015-09-10 13:26:44 -0700  2015-09-10 13:26:44 -0700
vec_deque_retain                             1.4.0   2015-09-10 13:26:44 -0700  2015-09-10 13:26:44 -0700
fmt_write_blanket_impl                       1.4.0   2015-09-12 15:19:25 +1200  2015-09-12 15:19:25 +1200
fnptr_impls                                  1.4.0   2015-09-13 18:11:10 +0300  2015-09-13 18:11:10 +0300
core_prelude                                 1.4.0   2015-11-16 19:54:28 +0300  2015-11-16 19:54:28 +0300
str_split_at                                 1.4.0   2018-04-07 21:56:02 +0200  2018-04-07 21:56:02 +0200
cursor_box_slice                             1.5.0   2015-08-18 23:02:49 -0700  2015-08-18 23:02:49 -0700
vec_as_mut                                   1.5.0   2015-09-25 19:54:15 +0200  2015-09-25 19:54:15 +0200
socket_addr_from_str                         1.5.0   2015-10-20 11:35:05 -0700  2015-10-20 11:35:05 -0700
binary_heap_extras_15                        1.5.0   2015-10-22 16:28:45 -0700  2019-02-11 11:58:56 +0100
deque_extras_15                              1.5.0   2015-10-22 16:28:45 -0700  2015-10-22 16:28:45 -0700
file_type_ext                                1.5.0   2015-10-22 16:28:45 -0700  2016-10-27 20:57:49 -0600
fmt_flags                                    1.5.0   2015-10-22 16:28:45 -0700  2015-10-22 16:28:45 -0700
fs_canonicalize                              1.5.0   2015-10-22 16:28:45 -0700  2015-10-22 16:28:45 -0700
path_ext                                     1.5.0   2015-10-22 16:28:45 -0700  2015-10-22 16:28:45 -0700
str_match_indices                            1.5.0   2015-10-22 16:28:45 -0700  2018-04-07 21:56:02 +0200
str_parse_error                              1.5.0   2015-10-22 16:28:45 -0700  2015-10-22 16:28:45 -0700
utf8_error                                   1.5.0   2015-10-22 16:28:45 -0700  2015-10-22 16:28:45 -0700
vec_resize                                   1.5.0   2015-10-22 16:28:45 -0700  2015-10-22 16:28:45 -0700
wait_timeout                                 1.5.0   2015-10-22 16:28:45 -0700  2015-10-22 16:28:45 -0700
mut_slice_default                            1.5.0   2015-10-23 14:39:50 +1100  2015-10-23 14:39:50 +1100
iter_order                                   1.5.0   2016-04-18 20:08:27 +0200  2016-04-18 20:08:27 +0200
lossless_int_conv                            1.5.0   2017-05-20 08:38:39 +0100  2017-05-20 08:38:39 +0100
char_from_unchecked                          1.5.0   2018-04-05 18:26:58 +0200  2018-04-05 18:26:58 +0200
slice_splits                                 1.5.0   2018-04-07 19:38:35 +0200  2018-04-07 19:38:35 +0200
str_slice_mut                                1.5.0   2018-04-07 21:56:02 +0200  2018-04-07 21:56:02 +0200
path_into_iter                               1.6.0   2015-11-01 18:04:53 -0500  2015-11-01 18:04:53 -0500
cow_from_path                                1.6.0   2015-11-03 04:26:45 +0000  2015-11-03 04:26:45 +0000
partialeq_path                               1.6.0   2015-11-03 04:51:21 +0000  2015-11-03 04:51:21 +0000
from_for_ptrs                                1.6.0   2015-11-16 11:04:17 +0300  2015-11-16 11:04:17 +0300
core                                         1.6.0   2015-12-02 17:31:49 -0800  2015-12-02 17:31:49 -0800
dir_builder                                  1.6.0   2015-12-02 17:31:49 -0800  2018-04-09 17:44:28 -0700
drain                                        1.6.0   2015-12-02 17:31:49 -0800  2019-02-11 11:58:56 +0100
mutex_get_mut                                1.6.0   2015-12-02 17:31:49 -0800  2015-12-02 17:31:49 -0800
mutex_into_inner                             1.6.0   2015-12-02 17:31:49 -0800  2015-12-02 17:31:49 -0800
read_exact                                   1.6.0   2015-12-02 17:31:49 -0800  2015-12-02 17:31:49 -0800
rwlock_get_mut                               1.6.0   2015-12-02 17:31:49 -0800  2015-12-02 17:31:49 -0800
rwlock_into_inner                            1.6.0   2015-12-02 17:31:49 -0800  2015-12-02 17:31:49 -0800
iter_cmp_by_key                              1.6.0   2016-04-18 20:08:27 +0200  2016-04-18 20:08:27 +0200
vec_extend_from_slice                        1.6.0   2017-05-05 14:42:39 -0400  2017-05-05 14:42:39 -0400
lossless_float_conv                          1.6.0   2017-05-20 08:38:39 +0100  2017-05-20 08:38:39 +0100
string_box_error                             1.6.0   2017-05-20 08:38:39 +0100  2017-05-20 08:38:39 +0100
process_output_debug                         1.7.0   2015-12-16 20:28:54 +0000  2015-12-16 20:28:54 +0000
cstring_asref                                1.7.0   2015-12-31 14:21:40 -0500  2015-12-31 14:21:40 -0500
cstring_into                                 1.7.0   2016-01-15 10:07:52 -0800  2016-01-15 10:07:52 -0800
string_as_str                                1.7.0   2016-01-15 10:07:52 -0800  2016-01-15 10:07:52 -0800
vec_as_slice                                 1.7.0   2016-01-15 10:07:52 -0800  2016-01-15 10:07:52 -0800
wrapping                                     1.7.0   2016-01-15 10:07:52 -0800  2018-02-11 22:08:32 +0100
hashmap_build_hasher                         1.7.0   2016-01-21 10:28:39 -0800  2016-09-28 11:28:42 +0100
ip_addr                                      1.7.0   2016-02-05 16:22:45 -0800  2016-09-28 11:28:42 +0100
wrapping_impls                               1.7.0   2016-03-07 16:29:39 -0800  2016-03-07 16:29:39 -0800
btree_drop                                   1.7.0   2016-09-28 11:28:42 +0100  2016-09-28 11:28:42 +0100
slice_sort_by_key                            1.7.0   2018-03-16 14:37:17 +0000  2018-03-16 14:37:17 +0000
clone_from_slice                             1.7.0   2018-04-07 19:38:35 +0200  2018-04-07 19:38:35 +0200
f32_deg_rad_conversions                      1.7.0   2018-04-08 10:09:52 +0200  2018-04-08 10:09:52 +0200
str_parse_error2                             1.8.0   2016-01-22 13:38:28 -0500  2016-01-22 13:38:28 -0500
slice_to_socket_addrs                        1.8.0   2016-01-24 00:31:22 -0800  2016-01-24 00:31:22 -0800
metadata_ext2                                1.8.0   2016-02-04 17:16:47 -0800  2018-07-30 15:50:51 +0200
vec_into_iter_clone                          1.8.0   2016-02-16 16:00:38 +0100  2016-02-16 16:00:38 +0100
cmp_os_str                                   1.8.0   2016-02-18 16:03:42 +0200  2016-02-18 16:03:42 +0200
cow_os_str_as_ref_path                       1.8.0   2016-02-18 16:04:28 +0200  2016-02-18 16:04:28 +0200
cmp_path                                     1.8.0   2016-02-18 16:07:12 +0200  2016-02-18 16:07:12 +0200
cell_map                                     1.8.0   2016-02-25 15:52:29 -0800  2016-02-25 15:52:29 -0800
op_assign_traits                             1.8.0   2016-02-25 15:52:29 -0800  2017-06-07 22:08:14 -0400
time2                                        1.8.0   2016-02-25 15:52:29 -0800  2016-02-25 15:52:29 -0800
pthread_t                                    1.8.0   2016-06-21 10:14:16 -0700  2018-07-30 15:50:51 +0200
drop_in_place                                1.8.0   2017-03-14 01:08:21 +0200  2017-03-14 01:08:21 +0200
box_error                                    1.8.0   2017-05-20 08:38:39 +0100  2017-05-20 08:38:39 +0100
cow_from_vec                                 1.8.0   2017-05-20 08:38:39 +0100  2017-05-20 08:38:39 +0100
mpsc_debug                                   1.8.0   2017-05-20 08:38:39 +0100  2017-05-20 08:38:39 +0100
encode_utf16                                 1.8.0   2018-04-07 21:56:02 +0200  2018-04-07 21:56:02 +0200
net2_mutators                                1.9.0   2016-02-27 15:02:48 -0800  2016-02-27 15:02:48 -0800
from_slice_v4                                1.9.0   2016-03-04 14:12:18 -0800  2016-03-04 14:12:18 -0800
core_impl_debug                              1.9.0   2016-03-04 18:49:43 -0800  2018-12-17 20:24:52 -0500
ipv6_from_octets                             1.9.0   2016-03-18 13:53:40 +0100  2016-03-18 13:53:40 +0100
osstring_default                             1.9.0   2016-03-22 07:38:44 +0800  2016-03-22 07:38:44 +0800
str_to_string_specialization                 1.9.0   2016-03-22 19:29:56 -0700  2016-03-22 19:29:56 -0700
time_augmented_assignment                    1.9.0   2016-03-22 23:28:22 -0700  2016-03-22 23:28:22 -0700
chain_bufread                                1.9.0   2016-03-28 01:28:03 +0200  2016-03-28 01:28:03 +0200
ascii                                        1.9.0   2016-04-07 10:42:53 -0700  2016-04-07 10:42:53 -0700
catch_unwind                                 1.9.0   2016-04-07 10:42:53 -0700  2016-04-07 10:42:53 -0700
decode_utf16                                 1.9.0   2016-04-07 10:42:53 -0700  2018-04-05 18:02:52 +0200
expand_open_options2                         1.9.0   2016-04-07 10:42:53 -0700  2016-04-07 10:42:53 -0700
file_try_clone                               1.9.0   2016-04-07 10:42:53 -0700  2016-04-07 10:42:53 -0700
hashmap_public_hasher                        1.9.0   2016-04-07 10:42:53 -0700  2016-04-07 10:42:53 -0700
osstring_simple_functions                    1.9.0   2016-04-07 10:42:53 -0700  2016-04-07 10:42:53 -0700
process_exec2                                1.9.0   2016-04-07 10:42:53 -0700  2016-10-27 20:57:49 -0600
ptr_as_ref                                   1.9.0   2016-04-07 10:42:53 -0700  2016-04-07 10:42:53 -0700
resume_unwind                                1.9.0   2016-04-07 10:42:53 -0700  2016-04-07 10:42:53 -0700
set_recovery                                 1.9.0   2016-04-07 10:42:53 -0700  2016-04-07 10:42:53 -0700
sockaddr_setters                             1.9.0   2016-04-07 10:42:53 -0700  2016-04-07 10:42:53 -0700
thread_extensions                            1.9.0   2016-04-07 10:42:53 -0700  2017-07-10 20:44:14 -0700
volatile                                     1.9.0   2016-04-07 10:42:53 -0700  2016-04-07 10:42:53 -0700
copy_from_slice                              1.9.0   2018-04-07 19:38:35 +0200  2018-04-07 19:38:35 +0200
is_char_boundary                             1.9.0   2018-04-07 21:56:02 +0200  2018-04-07 21:56:02 +0200
double_ended_skip_iterator                   1.9.0   2018-12-17 17:23:12 -0500  2018-12-17 17:23:12 -0500
vecdeque_vec_conversions                     1.10.0  2016-04-09 23:33:43 +0100  2016-04-09 23:33:43 +0100
cstr_default                                 1.10.0  2016-04-15 17:58:59 +0200  2016-04-15 17:58:59 +0200
wrapping_display                             1.10.0  2016-04-16 09:51:21 +0200  2016-04-16 09:51:21 +0200
wrapping_neg                                 1.10.0  2016-04-17 21:57:11 -0700  2016-04-17 21:57:11 -0700
cell_ord                                     1.10.0  2016-05-01 04:26:39 -0400  2016-05-01 04:26:39 -0400
cstr_from_bytes                              1.10.0  2016-05-17 11:57:07 -0700  2016-05-17 11:57:07 -0700
downgraded_weak                              1.10.0  2016-05-17 11:57:07 -0700  2016-05-17 11:57:07 -0700
extended_compare_and_swap                    1.10.0  2016-05-17 11:57:07 -0700  2016-05-17 11:57:07 -0700
fs_time                                      1.10.0  2016-05-17 11:57:07 -0700  2016-05-17 11:57:07 -0700
map_entry_keys                               1.10.0  2016-05-17 11:57:07 -0700  2016-05-17 11:57:07 -0700
map_values_mut                               1.10.0  2016-05-17 11:57:07 -0700  2019-02-11 11:58:56 +0100
open_options_ext                             1.10.0  2016-05-17 11:57:07 -0700  2016-10-27 20:57:49 -0600
panic_hooks                                  1.10.0  2016-05-17 11:57:07 -0700  2018-01-23 16:31:53 +0100
unix_socket                                  1.10.0  2016-05-17 11:57:07 -0700  2018-07-07 06:50:55 +0200
condvar_default                              1.10.0  2017-05-20 08:38:39 +0100  2017-05-20 08:38:39 +0100
mutex_default                                1.10.0  2017-05-20 08:38:39 +0100  2017-05-20 08:38:39 +0100
rw_lock_default                              1.10.0  2017-05-20 08:38:39 +0100  2017-05-20 08:38:39 +0100
unsafe_cell_default                          1.10.0  2017-05-20 08:38:39 +0100  2017-05-20 08:38:39 +0100
slice_binary_search_by_key                   1.10.0  2018-04-07 19:38:35 +0200  2018-04-07 19:38:35 +0200
exact_size_escape                            1.11.0  2015-12-30 10:08:28 +0100  2015-12-30 10:08:28 +0100
fmt_error                                    1.11.0  2016-05-25 00:49:49 +0200  2016-05-25 00:49:49 +0200
wrapping_fmt                                 1.11.0  2016-06-09 23:03:14 +0100  2016-06-09 23:03:14 +0100
default                                      1.11.0  2016-06-16 14:44:56 +0100  2016-06-16 14:44:56 +0100
btree_append                                 1.11.0  2016-06-28 08:56:56 -0700  2016-06-28 08:56:56 -0700
btree_split_off                              1.11.0  2016-06-28 08:56:56 -0700  2016-06-28 08:56:56 -0700
cell_get_mut                                 1.11.0  2016-06-28 08:56:56 -0700  2018-05-07 15:24:45 +0800
iter_arith                                   1.11.0  2016-06-28 08:56:56 -0700  2016-06-28 08:56:56 -0700
binary_heap_append                           1.11.0  2019-02-11 11:58:56 +0100  2019-02-11 11:58:56 +0100
unwind_safe_lock_refs                        1.12.0  2016-07-11 07:34:20 -0700  2016-07-11 07:34:20 -0700
debug_btree_map                              1.12.0  2016-07-17 17:28:00 +0200  2016-07-17 17:28:00 +0200
stringaddassign                              1.12.0  2016-07-18 14:27:17 -0400  2016-07-18 14:27:17 -0400
cow_str_from_iter                            1.12.0  2016-07-26 21:16:46 -0700  2016-07-26 21:16:46 -0700
cell_from                                    1.12.0  2016-08-05 16:57:19 -0300  2016-08-05 16:57:19 -0300
binary_heap_peek_mut                         1.12.0  2016-08-11 14:08:24 -0700  2016-08-11 14:08:24 -0700
cell_as_ptr                                  1.12.0  2016-08-11 14:08:24 -0700  2018-05-07 15:24:45 +0800
exit_status_from                             1.12.0  2016-08-11 14:08:24 -0700  2016-10-27 20:57:49 -0600
ip_shared                                    1.12.0  2016-08-11 14:08:24 -0700  2016-08-11 14:08:24 -0700
ipv6_to_octets                               1.12.0  2016-08-11 14:08:24 -0700  2016-08-11 14:08:24 -0700
linked_list_contains                         1.12.0  2016-08-11 14:08:24 -0700  2016-08-11 14:08:24 -0700
map_entry_recover_keys2                      1.12.0  2016-08-11 14:08:24 -0700  2016-08-11 14:08:24 -0700
mpsc_recv_timeout                            1.12.0  2016-08-11 14:08:24 -0700  2016-08-11 14:08:24 -0700
vec_deque_contains                           1.12.0  2016-08-11 14:08:24 -0700  2016-08-11 14:08:24 -0700
env_iterators                                1.12.0  2017-05-20 08:38:39 +0100  2017-05-20 08:38:39 +0100
fn_once_output                               1.12.0  2017-06-07 21:59:57 -0400  2017-06-07 21:59:57 -0400
iter_arith_traits                            1.12.0  2018-12-17 17:33:12 -0500  2018-12-17 17:33:12 -0500
debug_hash_map                               1.12.0  2019-02-20 11:13:35 +0000  2019-02-20 11:13:35 +0000
path_components_debug                        1.13.0  2016-08-29 07:17:27 -0400  2016-08-29 07:17:27 -0400
path_iter_debug                              1.13.0  2016-08-30 09:29:22 -0400  2016-08-30 09:29:22 -0400
cstring_drop                                 1.13.0  2016-09-04 18:37:30 +0300  2016-09-04 18:37:30 +0300
dir_entry_debug                              1.13.0  2016-09-21 14:57:04 -0400  2016-09-21 14:57:04 -0400
vec_intoiter_debug                           1.13.0  2016-09-28 11:28:42 +0100  2016-09-28 11:28:42 +0100
hashmap_default_hasher                       1.13.0  2016-09-28 17:23:36 -0700  2016-09-28 17:23:36 -0700
try_borrow                                   1.13.0  2016-09-28 17:23:36 -0700  2016-09-28 17:23:36 -0700
assert_ne                                    1.13.0  2017-04-18 23:33:38 +0100  2017-04-18 23:33:38 +0100
slice_iter_as_ref                            1.13.0  2017-05-20 08:38:39 +0100  2017-05-20 08:38:39 +0100
no_panic_abs                                 1.13.0  2018-02-11 22:08:32 +0100  2018-02-11 22:08:32 +0100
char_convert                                 1.13.0  2018-04-05 18:26:58 +0200  2018-04-05 18:26:58 +0200
unwind_safe_atomic_refs                      1.14.0  2016-10-14 15:31:15 -0400  2016-10-14 15:31:15 -0400
string_from_cow_str                          1.14.0  2016-10-21 16:51:59 +0200  2016-10-21 16:51:59 +0200
vec_from_cow_slice                           1.14.0  2016-10-21 16:51:59 +0200  2016-10-21 16:51:59 +0200
io_error_from_errorkind                      1.14.0  2016-11-01 19:19:33 -0600  2016-11-01 19:19:33 -0600
cow_add                                      1.14.0  2016-11-04 01:07:00 +0000  2016-11-04 01:07:00 +0000
from_path_buf_for_os_string                  1.14.0  2016-11-04 15:54:08 -0200  2016-11-04 15:54:08 -0200
from_string_for_vec_u8                       1.14.0  2016-11-04 15:54:08 -0200  2016-11-04 15:54:08 -0200
wrapping_ref                                 1.14.0  2017-01-29 13:31:47 +0000  2017-01-29 13:31:47 +0000
wrapping_iter_arith                          1.14.0  2018-12-17 17:33:12 -0500  2018-12-17 17:33:12 -0500
iter_max_by                                  1.15.0  2016-12-14 11:20:55 -0800  2016-12-14 11:20:55 -0800
iter_min_by                                  1.15.0  2016-12-14 11:20:55 -0800  2016-12-14 11:20:55 -0800
file_offset                                  1.15.0  2016-12-14 11:35:05 -0800  2016-12-14 11:35:05 -0800
atomic_access                                1.15.0  2016-12-14 12:13:12 -0800  2016-12-14 12:13:12 -0800
vec_into_iter_as_slice                       1.15.0  2016-12-14 12:15:22 -0800  2016-12-14 12:15:22 -0800
receiver_try_iter                            1.15.0  2016-12-14 12:20:38 -0800  2016-12-14 12:20:38 -0800
arc_counts                                   1.15.0  2016-12-14 12:27:30 -0800  2016-12-14 12:27:30 -0800
rc_counts                                    1.15.0  2016-12-14 12:27:30 -0800  2016-12-14 12:27:30 -0800
unicode_encode_char                          1.15.0  2016-12-14 12:34:02 -0800  2016-12-14 12:34:02 -0800
cell_extras                                  1.15.0  2016-12-14 12:36:49 -0800  2016-12-14 12:36:49 -0800
io_take_into_inner                           1.15.0  2016-12-14 12:39:16 -0800  2016-12-14 12:39:16 -0800
process_exec                                 1.15.0  2016-12-14 13:02:00 -0800  2016-12-14 13:02:00 -0800
proc_macro_lib                               1.15.0  2017-01-01 16:14:35 -0800  2018-05-13 18:46:38 +0300
mpsc_recv_timeout_error                      1.15.0  2017-05-20 08:38:39 +0100  2017-05-20 08:38:39 +0100
slice_get_slice_impls                        1.15.0  2018-07-23 01:16:28 +0100  2018-07-23 01:16:28 +0100
ip_from_ip                                   1.16.0  2016-12-12 15:34:09 -0500  2016-12-12 15:34:09 -0500
duration_sum                                 1.16.0  2016-12-30 14:22:47 -0500  2016-12-30 14:22:47 -0500
string_to_socket_addrs                       1.16.0  2017-01-13 16:28:50 -0500  2017-01-13 16:28:50 -0500
dedup_by                                     1.16.0  2017-01-25 15:37:20 -0800  2017-01-25 15:37:20 -0800
deque_extras                                 1.16.0  2017-01-25 15:37:20 -0800  2018-11-30 23:38:05 -0800
duration_checked_ops                         1.16.0  2017-01-25 15:37:20 -0800  2017-01-25 15:37:20 -0800
insert_str                                   1.16.0  2017-01-25 15:37:20 -0800  2017-01-25 15:37:20 -0800
ipaddr_checker                               1.16.0  2017-01-25 15:37:20 -0800  2017-01-25 15:37:20 -0800
ptr_wrapping_offset                          1.16.0  2017-01-25 15:37:20 -0800  2017-01-25 15:37:20 -0800
result_unwrap_or_default                     1.16.0  2017-01-25 15:37:20 -0800  2017-01-25 15:37:20 -0800
set_permissions_atomic                       1.16.0  2017-01-25 15:37:20 -0800  2017-01-25 15:37:20 -0800
sockaddr_checker                             1.16.0  2017-01-25 15:37:20 -0800  2017-01-25 15:37:20 -0800
string_split_off                             1.16.0  2017-01-25 15:37:20 -0800  2017-01-25 15:37:20 -0800
windows_process_extensions                   1.16.0  2017-01-25 15:37:20 -0800  2017-01-25 15:37:20 -0800
char_struct_display                          1.16.0  2017-01-29 13:31:47 +0000  2018-04-05 18:36:02 +0200
std_debug                                    1.16.0  2017-01-29 13:31:47 +0000  2018-09-02 22:06:32 +0100
ip_cmp                                       1.16.0  2017-05-20 08:38:39 +0100  2017-05-20 08:38:39 +0100
ipv6_from_segments                           1.16.0  2017-05-20 08:38:39 +0100  2017-05-20 08:38:39 +0100
repeat_str                                   1.16.0  2017-06-13 15:52:59 -0700  2017-06-13 15:52:59 -0700
str_replacen                                 1.16.0  2017-06-13 15:52:59 -0700  2017-06-13 15:52:59 -0700
iter_arith_traits_result                     1.16.0  2018-12-17 17:33:12 -0500  2018-12-17 17:33:12 -0500
collection_debug                             1.17.0  2017-01-21 00:33:38 +0100  2018-04-07 21:56:02 +0200
ip_from_slice                                1.17.0  2017-01-28 12:53:17 -0800  2017-01-28 12:53:17 -0800
addr_from_into_ip                            1.17.0  2017-01-28 12:54:09 -0800  2017-01-28 12:54:09 -0800
box_default_extra                            1.17.0  2017-01-31 22:46:16 -0500  2017-01-31 22:46:16 -0500
box_from_c_str                               1.17.0  2017-01-31 22:46:16 -0500  2017-01-31 22:46:16 -0500
box_from_os_str                              1.17.0  2017-01-31 22:46:16 -0500  2017-01-31 22:46:16 -0500
box_from_path                                1.17.0  2017-01-31 22:46:16 -0500  2017-01-31 22:46:16 -0500
box_from_slice                               1.17.0  2017-01-31 22:46:16 -0500  2017-01-31 22:46:16 -0500
default_box_extra                            1.17.0  2017-01-31 22:46:16 -0500  2017-01-31 22:46:16 -0500
cow_str_to_string_specialization             1.17.0  2017-02-01 11:54:36 +0800  2017-02-01 11:54:36 +0800
string_to_string_specialization              1.17.0  2017-02-01 11:54:36 +0800  2017-02-01 11:54:36 +0800
frombyteswithnulerror_impls                  1.17.0  2017-02-21 16:39:32 +0100  2017-02-21 16:39:32 +0100
string_from_iter_by_ref                      1.17.0  2017-02-22 00:06:40 -0800  2017-02-22 00:06:40 -0800
move_cell                                    1.17.0  2017-03-14 20:46:56 -0700  2017-03-14 20:46:56 -0700
result_expect_err                            1.17.0  2017-03-14 20:49:18 -0700  2017-03-14 20:49:18 -0700
ptr_unaligned                                1.17.0  2017-03-14 20:51:29 -0700  2017-03-14 20:51:29 -0700
process_abort                                1.17.0  2017-03-14 20:52:20 -0700  2017-03-14 20:52:20 -0700
ptr_eq                                       1.17.0  2017-03-14 21:01:18 -0700  2017-03-15 07:58:27 -0700
btree_range                                  1.17.0  2017-03-14 21:04:54 -0700  2017-04-18 23:33:38 +0100
ordering_chaining                            1.17.0  2017-03-14 21:06:29 -0700  2017-03-14 21:06:29 -0700
rc_raw                                       1.17.0  2017-03-14 21:10:02 -0700  2017-03-14 21:10:02 -0700
